Strike,Maturity,"Option
price",Delta,Vega,Delta Strike,Gamma Strike,Theta,ChangedStrike,DividendFactor,ImpVolCalibrated,VegaRef,"Option
type",logMoneyness,impliedTotalVariance,Bid,Ask,ImpVolAsk,ImpVolBid,locvol,logMaturity,"Implied
vol."
3090,0.055,228.8,-0.985937065,24.02500644,3.11805486,0.017531775,-30191.99122,3085.879562,1,0.191328681,119.4389684,2,0.07617945,0.001185263,227.5,230.1,0.208813649,0.167182202,1,-2.900422094,0.191328681
2475,0.063,1.05,-0.014595353,26.54916102,0.02336716,-0.0000512,86.76291059,2471.659818,0.999822855,0.271473447,17.91455657,2,-0.145767359,0.004609726,0.95,1.15,0.275069375,0.267645249,1,-2.764620553,0.271473447
2520,0.063,1.5,-0.021126302,36.40242477,0.033602984,-0.000056,121.1441462,2516.599088,0.999822855,0.255734799,33.79948262,2,-0.127748854,0.004083733,1.4,1.6,0.25837984,0.252976731,1,-2.764620553,0.255734799
2530,0.063,1.6,-0.022695463,38.67278321,0.036038721,-0.0000565,129.0094633,2526.585592,0.999822855,0.251561585,38.4333603,2,-0.123788453,0.00395011,1.5,1.7,0.254054454,0.248969983,1,-2.764620553,0.251561585
2550,0.063,1.925,-0.027316907,45.17528626,0.04332461,-0.0000549,152.412123,2546.558601,0.999822855,0.245407972,49.03513061,2,-0.115914396,0.003756919,1.8,2.05,0.248075863,0.242633226,1,-2.764620553,0.245407972
2575,0.063,2.375,-0.03396299,54.10589126,0.05378634,-0.0000485,184.7211812,2571.524861,0.999822855,0.236682509,64.87979543,2,-0.106158221,0.003493996,2.25,2.5,0.238922509,0.234372695,1,-2.764620553,0.236682509
2590,0.063,2.725,-0.03897612,60.55911564,0.061717117,-0.0000405,208.4520557,2586.504618,0.999822855,0.231847137,75.77390889,2,-0.10034988,0.003350111,2.6,2.85,0.2338528,0.229788516,1,-2.764620553,0.231847137
2600,0.063,2.975,-0.04259189,65.07933924,0.067438225,-0.0000332,225.1039402,2596.491122,0.999822855,0.228413773,83.59685846,2,-0.09649631,0.003249188,2.85,3.1,0.230281913,0.226501324,1,-2.764620553,0.228413773
2610,0.063,3.3,-0.047139619,70.61839922,0.07469881,-0.0000223,245.9862064,2606.477627,0.999822855,0.225673309,91.84762484,2,-0.092657534,0.003172388,3.1,3.5,0.228418537,0.22283569,1,-2.764620553,0.225673309
2620,0.063,3.65,-0.052013667,76.38751322,0.08249172,-0.00000868,267.8030383,2616.464131,0.999822855,0.222788365,100.5017291,2,-0.088833438,0.003090922,3.5,3.8,0.224702966,0.220831323,1,-2.764620553,0.222788365
